,event_time,user_id,article_id,watch_time,comment_count
1503858,2022-09-19T21:23:50.998030+09:00,d-FHhCV7S5aLhzV1KA5sdM,--zxacZcBe_wMdNoYxit_Q==,0,0
1696481,2022-09-19T21:23:51.146119+09:00,c4Igjy5xR8CxlNf7Rm_5QN,--zxacZcBe_wMdNoYxit_Q==,0,0
1648655,2022-09-19T21:23:54.313552+09:00,f8pOATGySPmpFQPo_sp55c,--zxacZcBe_wMdNoYxit_Q==,0,0
1262628,2022-09-19T21:24:03.761395+09:00,cHyTyKC65U0rjyxa3BSpWC,--zxacZcBe_wMdNoYxit_Q==,0,0
1117895,2022-09-19T21:24:38.094590+09:00,dG-_ilPuQtu415ssaxfQGu,--zxacZcBe_wMdNoYxit_Q==,0,0
1600276,2022-09-19T21:25:07.198236+09:00,cPJ1gX0GS2OFWe-H-wBuRP,--zxacZcBe_wMdNoYxit_Q==,0,0
925348,2022-09-19T21:25:59.636978+09:00,eKWySv1TRlGburGZgyvEzp,--zxacZcBe_wMdNoYxit_Q==,7,0
1268551,2022-09-19T21:26:38.202523+09:00,dVshzEUUQuy7WaY80f2aGm,--zxacZcBe_wMdNoYxit_Q==,0,0
1117896,2022-09-19T21:27:01.962080+09:00,ckX5BOCnSUyFEig_nTfpaW,--zxacZcBe_wMdNoYxit_Q==,0,0
1165877,2022-09-19T21:27:12.814187+09:00,cP71DzZXSQ-VcOdq0jWRBg,--zxacZcBe_wMdNoYxit_Q==,0,0
1117913,2022-09-19T21:28:16.232128+09:00,cMSNHa9ZTMS3HjL8_4fumz,--zxacZcBe_wMdNoYxit_Q==,0,0
1552170,2022-09-19T21:28:23.516877+09:00,eWOufdZmQ1C2EfNUXGuZ2r,--zxacZcBe_wMdNoYxit_Q==,15,0
1985883,2022-09-19T21:28:50.709609+09:00,esWUNKJpSGKTNZB4rNaCCN,--zxacZcBe_wMdNoYxit_Q==,0,0
1117916,2022-09-19T21:29:04.248321+09:00,edBh3d4LTVaS70zviLmcw5,--zxacZcBe_wMdNoYxit_Q==,0,0
1895636,2022-09-19T21:29:59.060805+09:00,cH0qlcGWMUvNg-NHpSd7vA,--zxacZcBe_wMdNoYxit_Q==,0,0
1600264,2022-09-19T21:30:16.937183+09:00,fT0awwOFlElXpYOszGKNij,--zxacZcBe_wMdNoYxit_Q==,0,0
1552155,2022-09-19T21:31:39.214460+09:00,e7AfG5-gR3Wt8sQN85f3yG,--zxacZcBe_wMdNoYxit_Q==,0,0
1268570,2022-09-19T21:31:54.852609+09:00,c3Fh71SjSt6W9Mcl7h_DKZ,--zxacZcBe_wMdNoYxit_Q==,0,0
925351,2022-09-19T21:33:23.384095+09:00,c5bd_MQRSr6eq9aFskwtV_,--zxacZcBe_wMdNoYxit_Q==,0,0
1165890,2022-09-19T21:33:33.439173+09:00,d2cQH9O4EEMwnQyZekHHk1,--zxacZcBe_wMdNoYxit_Q==,0,0
1799055,2022-09-19T21:34:04.941103+09:00,fn-3nONrR5m7aPnBQyqzID,--zxacZcBe_wMdNoYxit_Q==,14,0
2451650,2022-09-19T21:34:13.694947+09:00,fsEAnyyLTBqoRmiGPiPhpa,--zxacZcBe_wMdNoYxit_Q==,0,0
1702482,2022-09-19T21:34:37.746834+09:00,f0KImTNtT461BKAJGER-Gx,--zxacZcBe_wMdNoYxit_Q==,0,0
1407433,2022-09-19T21:34:40.948513+09:00,cZEybvT3SsCa_m6V-GVYvQ,--zxacZcBe_wMdNoYxit_Q==,0,0
2045261,2022-09-19T21:35:51.584251+09:00,fgUDtJBQS62aBHVZAV0ceM,--zxacZcBe_wMdNoYxit_Q==,350,0
1503864,2022-09-19T21:36:47.082761+09:00,cht-vKYUYEhSqIZ8I1BPwk,--zxacZcBe_wMdNoYxit_Q==,2,0
1503848,2022-09-19T21:37:08.453121+09:00,cqNilKmBLkQpj2naF3qdnM,--zxacZcBe_wMdNoYxit_Q==,0,0
1696485,2022-09-19T21:37:23.609301+09:00,ddOmREONSpi4Ii_2Vbq8Rg,--zxacZcBe_wMdNoYxit_Q==,0,0
1600267,2022-09-19T21:37:36.275374+09:00,dcJZmQfeQdGcOm5IcQQXXb,--zxacZcBe_wMdNoYxit_Q==,0,0
1262616,2022-09-19T21:38:45.872602+09:00,dFg5Rm7WeEw3mZOU4r20rL,--zxacZcBe_wMdNoYxit_Q==,0,0
2162486,2022-09-19T21:38:57.717345+09:00,eocoAuUtRiyI-5H7msSAMv,--zxacZcBe_wMdNoYxit_Q==,6,0
2168426,2022-09-19T21:39:17.758686+09:00,dFmtlEJJRfynpjoB9QjPd7,--zxacZcBe_wMdNoYxit_Q==,0,0
1696486,2022-09-19T21:39:23.881451+09:00,fc8aagFWR-CvGwMLc-D5rT,--zxacZcBe_wMdNoYxit_Q==,0,0
1413354,2022-09-19T21:39:46.053249+09:00,eOm7IqejSziS1MepVPcHvk,--zxacZcBe_wMdNoYxit_Q==,0,0
1696487,2022-09-19T21:40:10.849181+09:00,c4ryCw-fZk1Ltqv0yYAHHG,--zxacZcBe_wMdNoYxit_Q==,0,0
1600268,2022-09-19T21:40:16.691555+09:00,cH2KdQJvTYeO9-yRtFouDB,--zxacZcBe_wMdNoYxit_Q==,0,0
2355439,2022-09-19T21:41:00.401414+09:00,fv13ypOaQgmUAj7XWYBJVf,--zxacZcBe_wMdNoYxit_Q==,0,0
1069563,2022-09-19T21:41:16.721992+09:00,dFQATaRTvE6RormGkzuOih,--zxacZcBe_wMdNoYxit_Q==,35,0
973422,2022-09-19T21:41:44.400162+09:00,dQw4rOxPEE_AmQAsMQtOxG,--zxacZcBe_wMdNoYxit_Q==,5,0
925337,2022-09-19T21:42:06.429683+09:00,f1WB3uWdQ42CltyW-ci3Lq,--zxacZcBe_wMdNoYxit_Q==,0,0
1702484,2022-09-19T21:42:34.501371+09:00,f56M2SloSRqV0ti5kP8Mkb,--zxacZcBe_wMdNoYxit_Q==,75,0
1750858,2022-09-19T21:42:57.396701+09:00,fAY-bS8WTFqLuq39Li4-bA,--zxacZcBe_wMdNoYxit_Q==,0,0
1117900,2022-09-19T21:43:04.163429+09:00,dkIee4uVRneznC-iCwmvfF,--zxacZcBe_wMdNoYxit_Q==,0,0
1750836,2022-09-19T21:43:27.311874+09:00,fsG9at4BQL-tQ4KO9r5t1J,--zxacZcBe_wMdNoYxit_Q==,0,0
2162488,2022-09-19T21:43:50.191712+09:00,dVTnCAzWRyKqjEDoViLFZW,--zxacZcBe_wMdNoYxit_Q==,0,0
1889669,2022-09-19T21:44:02.040676+09:00,cdMTcLXNTW-qsRTSMXWFIc,--zxacZcBe_wMdNoYxit_Q==,0,0
925357,2022-09-19T21:44:07.218208+09:00,d00_UUL3QUSQr_ISASz4hE,--zxacZcBe_wMdNoYxit_Q==,0,0
2045262,2022-09-19T21:44:27.620485+09:00,dbgrovsxSQyv3sOKMTUKTW,--zxacZcBe_wMdNoYxit_Q==,44,0
1165879,2022-09-19T21:44:34.273121+09:00,e8lKl2dbTN-bwoyxGsQlqD,--zxacZcBe_wMdNoYxit_Q==,0,0
2168450,2022-09-19T21:45:31.715493+09:00,c6GXW_naSpSU3Pyrsb-oQV,--zxacZcBe_wMdNoYxit_Q==,0,0
1171809,2022-09-19T21:45:46.621502+09:00,fqP1MPPyRc-87d6tbXqk_g,--zxacZcBe_wMdNoYxit_Q==,0,0
1799045,2022-09-19T21:45:55.761198+09:00,e2fJhbyvQhGrH6P317Sk7f,--zxacZcBe_wMdNoYxit_Q==,0,0
1316868,2022-09-19T21:46:17.667347+09:00,dPCLjK_AT4yfcuwHCCPL8l,--zxacZcBe_wMdNoYxit_Q==,14,0
1268575,2022-09-19T21:46:28.311049+09:00,fZS2aKT-RKKU_mCQcGhh3u,--zxacZcBe_wMdNoYxit_Q==,0,0
2162490,2022-09-19T21:46:52.395337+09:00,fQyWNP60SM-ZTKwHg2URGH,--zxacZcBe_wMdNoYxit_Q==,0,0
1413355,2022-09-19T21:47:16.031838+09:00,cuZ-4NxaQ7GYG9t7D5wyQ_,--zxacZcBe_wMdNoYxit_Q==,0,0
1262621,2022-09-19T21:47:49.400902+09:00,fjmWsnSSSwSrzaDAjP2psP,--zxacZcBe_wMdNoYxit_Q==,2,0
979355,2022-09-19T21:47:56.539202+09:00,cLodIg9KTR-MmKA4uEXqkW,--zxacZcBe_wMdNoYxit_Q==,0,0
1262635,2022-09-19T21:49:02.670963+09:00,f3njafh3QEitgqt3sUWVEN,--zxacZcBe_wMdNoYxit_Q==,0,0
1413356,2022-09-19T21:49:17.069178+09:00,c7yCWrgXTy6r3xphhIVUZW,--zxacZcBe_wMdNoYxit_Q==,0,0
1600285,2022-09-19T21:50:01.697788+09:00,foZzAkYjQi-LbQpK0kGnbn,--zxacZcBe_wMdNoYxit_Q==,0,0
1702488,2022-09-19T21:50:11.419744+09:00,ehkezsW2QyODKzivCMvbNw,--zxacZcBe_wMdNoYxit_Q==,0,0
979339,2022-09-19T21:50:11.902571+09:00,cg4Dz1AJTFuVO69XH7sj2B,--zxacZcBe_wMdNoYxit_Q==,0,0
2451641,2022-09-19T21:50:14.350628+09:00,e3gERTat6U49obT_jva0qK,--zxacZcBe_wMdNoYxit_Q==,0,0
1750839,2022-09-19T21:50:18.413692+09:00,fjSeSjHwRIO5mMaifuyU9i,--zxacZcBe_wMdNoYxit_Q==,4,0
1895644,2022-09-19T21:50:23.769961+09:00,eM8T7ygtUktXpyHNM5dXrb,--zxacZcBe_wMdNoYxit_Q==,0,0
1648656,2022-09-19T21:52:30.260469+09:00,eMS8JIneRkGC0wnztsEvex,--zxacZcBe_wMdNoYxit_Q==,81,0
1165883,2022-09-19T21:52:51.002823+09:00,cMNkYjeTTuyu0vWvw_r1PC,--zxacZcBe_wMdNoYxit_Q==,0,0
1413358,2022-09-19T21:52:58.301030+09:00,eC4Rd2FOTFilsFQlyS1BI7,--zxacZcBe_wMdNoYxit_Q==,51,0
2307036,2022-09-19T21:53:00.791285+09:00,f1Fn_EgVSwO8tWei2xc9SC,--zxacZcBe_wMdNoYxit_Q==,0,0
1648665,2022-09-19T21:54:19.532511+09:00,dhKYeKHUQkq5eEv4A0GO0T,--zxacZcBe_wMdNoYxit_Q==,0,0
2451656,2022-09-19T21:54:56.716989+09:00,d-9umQEvREMpk22vPv8Cm0,--zxacZcBe_wMdNoYxit_Q==,0,0
1648666,2022-09-19T21:55:29.735109+09:00,e6vPYbIDQDqo7S1StN6fnD,--zxacZcBe_wMdNoYxit_Q==,0,0
1069565,2022-09-19T21:55:44.977548+09:00,dZQI7DlVRvmOIuacij-HH3,--zxacZcBe_wMdNoYxit_Q==,0,0
